	GO:0002159	GO:0003007	GO:0003008	GO:0003012	GO:0003013	GO:0003015	GO:0003300	GO:0006357	GO:0006366	GO:0006936	GO:0006941	GO:0006942	GO:0006996	GO:0006998	GO:0007010	GO:0007015	GO:0007077	GO:0007154	GO:0007275	GO:0007507	GO:0007517	GO:0008015	GO:0008016	GO:0009653	GO:0009719	GO:0009888	GO:0009891	GO:0009893	GO:0010557	GO:0010604	GO:0010927	GO:0010959	GO:0014706	GO:0014896	GO:0014897	GO:0022402	GO:0023052	GO:0030029	GO:0030035	GO:0030036	GO:0030048	GO:0030154	GO:0030239	GO:0030240	GO:0031032	GO:0032501	GO:0032502	GO:0032956	GO:0032970	GO:0032989	GO:0033043	GO:0034329	GO:0034330	GO:0034334	GO:0034605	GO:0035051	GO:0035265	GO:0035295	GO:0035556	GO:0040007	GO:0042391	GO:0042692	GO:0043266	GO:0043502	GO:0044057	GO:0045214	GO:0045216	GO:0045595	GO:0045893	GO:0045935	GO:0045944	GO:0048468	GO:0048513	GO:0048518	GO:0048522	GO:0048523	GO:0048646	GO:0048729	GO:0048731	GO:0048738	GO:0048856	GO:0048869	GO:0050789	GO:0050793	GO:0050794	GO:0051093	GO:0051128	GO:0051146	GO:0051239	GO:0051252	GO:0051254	GO:0051493	GO:0051495	GO:0051716	GO:0055001	GO:0055002	GO:0055003	GO:0055006	GO:0055007	GO:0055013	GO:0060047	GO:0060048	GO:0060306	GO:0060419	GO:0060537	GO:0061061	GO:0061337	GO:0065007	GO:0065008	GO:0065009	GO:0070252	GO:0070925	GO:0071495	GO:0072359	GO:0086001	GO:0086002	GO:0086003	GO:0086005	GO:0086019	GO:0086023	GO:0090257	GO:0097435	GO:0098903	GO:0110053	GO:0140694	GO:0141124	GO:1901016	GO:1901018	GO:1901379	GO:1901381	GO:1902261	GO:1902680	GO:1902903	GO:1902905	GO:1903522	GO:1903760	GO:1903762	GO:1905024	GO:1905026	GO:1905031	GO:1905033	GO:1905335	GO:1905337
GO:0002159	1	-0	-0	-0	-0	-0	-0	-0	0.008612367334510576	-0	-0	-0	0.2475008839405181	0.18599391153464342	0.22840469669576652	0.21026422954651158	0.14410818611741108	0.010325466970400382	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	0.3119562306202953	-0	-0	-0	-0	0.009293250951931117	-0	0.008836066050985296	0.2418145415301062	0.21637671047036708	0.007782525111062916	0.00935679503503522	0.3076968135787863	0.2668823829618117	0.19525671302547534	-0	-0	-0	-0	0.19074194440001424	-0	0.6170962660159984	0.2058566221844691	0.5894018282569974	0.008030928896653673	0.007361906713718132	-0	-0	0.00982030296999611	-0	-0	0.007980955493709878	-0	-0	-0	0.2970077148244209	0.6137259558698718	-0	-0	-0	-0	0.008978987108082622	-0	-0	-0	-0	-0	-0	-0	-0	-0	0.009371017651623762	-0	-0	-0	-0	-0	0.007878277919735378	-0	-0	-0	-0	-0	0.01062051378993991	0.007843913526892815	0.007764682911479524	0.28660561204526813	0.007266881073837262	0.007319960269286408	0.007260906448854426	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	0.007264577781788439	0.36915488359724685	-0	-0	-0	0.007114477569559158	0.0071229630404885174	0.0069755175258763005	0.0066404230386737486	0.006455099028217641	-0	0.2165805196972538	-0	-0	0.35836382978397596	0.008826595018902652	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
GO:0003007	-0	1	0.5429263822078781	0.45802508866891534	0.46489555891343365	0.4279101168972199	0.35257758112509235	-0	-0	0.4559953494020428	0.43307248920524694	-0	-0	-0	-0	-0	-0	-0	0.5936336256124939	0.8415252551022755	0.6229939350973769	0.46391501560986703	-0	0.5729610159326395	-0	0.5339288985600413	-0	-0	-0	-0	0.5749459211385974	-0	0.4584260563808762	0.3542728381001211	0.35370628153293227	-0	-0	-0	-0	-0	-0	0.5595858098469642	0.5645552055800537	0.46951538236062235	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	0.8058917436541841	0.397867191260875	0.5524730456904715	-0	-0	-0	0.4738929231863231	-0	-0	-0	0.5388848834083326	-0	-0	-0	-0	-0	0.5569291368001889	0.5564435364336783	-0	-0	-0	0.6492251770908501	0.5928325907271708	0.66329683784144	0.8326203670872991	0.5835186303069827	0.5607988961233831	-0	-0	-0	-0	-0	0.4657505993429983	-0	-0	-0	-0	-0	-0	0.46304138649749627	0.45682509200882937	0.7746776862255944	0.792351969424781	0.7999017877040876	0.7915042399597105	0.42610911623098074	0.417780651855543	-0	0.7144518819686834	0.46076081469280533	0.4894539104448758	-0	-0	-0	-0	-0	-0	-0	0.5894064097033753	-0	0.39504077970977824	0.39565041845061716	0.38511756242947653	-0	0.34893811952280746	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
GO:0003008	-0	0.5429263822078781	1	0.5744028049867634	0.5852495501985094	0.5278182852992112	0.4177271254836827	-0	-0	0.5712141605807164	0.5356948726360109	-0	-0	-0	-0	-0	-0	-0	0.7724008373673376	0.5962064300125617	-0	0.5836964442349274	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	0.42010888292897236	0.41931242608946945	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	0.505307544159963	0.48284603290372213	0.6009723089308187	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	0.7621683706872602	0.525966053078168	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	0.4815666393557304	0.4949591180046688	0.5007198603976122	0.49431377508077146	0.5250808045932012	0.5124913061605484	-0	0.43689287476181043	-0	-0	-0	-0	-0	-0	-0	-0	-0	0.6271618951555461	-0	0.4786896263105364	0.47958507080283086	0.4641961424896809	-0	0.4126281194063239	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
GO:0003012	-0	0.45802508866891534	0.5744028049867634	1	0.6750182974111152	0.6188921632420644	0.5059173493902801	-0	-0	0.6614719216501168	0.6266998519072928	-0	-0	-0	-0	-0	-0	-0	0.6112167756608563	0.4953713523809573	-0	0.6735246306432371	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	0.508440098704122	0.5075968937703698	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	0.4309585091115029	0.4145129702706973	0.49865702826004765	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	0.604791560594818	0.44589517647274024	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	0.41356972213462756	0.4234085555049241	0.42761707140725685	0.4229362173637469	0.6161702895342804	0.6035968175470372	-0	0.38018378846620404	-0	-0	-0	-0	-0	-0	-0	-0	-0	0.5165553930975634	-0	0.5693785848350978	0.570293815428355	0.5544976629926313	-0	0.5005044089070187	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
GO:0003013	-0	0.46489555891343365	0.5852495501985094	0.6750182974111152	1	0.627953579091981	0.511956363672592	-0	-0	0.6718335167734452	0.6359930566314995	-0	-0	-0	-0	-0	-0	-0	0.6235133118903066	0.5034177447302565	-0	0.6842703311108499	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	0.5145398531284472	0.5136763121605563	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	0.4370355764684607	0.4201320570988388	0.5068113925906821	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	0.6168283834772541	0.4524039773721826	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	0.41916309240824773	0.42927311117679523	0.43359961289194	0.4287876053804611	0.6251515985215522	0.6122127613471097	-0	0.38490539056917183	-0	-0	-0	-0	-0	-0	-0	-0	-0	0.5253107732145481	-0	0.5770391345364331	0.5779791785747159	0.5617604688102417	-0	0.5064141337934001	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
GO:0003015	-0	0.4279101168972199	0.5278182852992112	0.6188921632420644	0.627953579091981	1	0.4790096707124682	-0	-0	0.6162139274727083	0.585928369978792	-0	-0	-0	-0	-0	-0	-0	0.5587423720667597	0.4603330030479001	-0	0.9123431901801223	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	0.48127060713174974	0.4805150440719391	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	0.4041936139705556	0.3896929940587583	0.4631689850477415	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	0.5533681887323767	0.41730437371811435	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	0.38885920905111715	0.39754509306744196	0.40125291531994683	0.39712866868788854	0.8396270270405566	0.8235698707192286	-0	0.35920060891975414	-0	-0	-0	-0	-0	-0	-0	-0	-0	0.47857110331471625	-0	0.7796573866294292	0.780835992532284	0.7604625306832723	-0	0.6903122332116837	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
GO:0003300	-0	0.35257758112509235	0.4177271254836827	0.5059173493902801	0.511956363672592	0.4790096707124682	1	-0	-0	0.757638271548717	0.7269004027793124	-0	-0	-0	-0	-0	-0	-0	0.43686256091978803	0.37429964645236735	-0	0.5110967155347373	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	0.6162729313789773	0.9946252209121264	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	0.3363178535181265	0.32621760993978655	0.3761724762924704	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	0.4335703241757115	0.34534581281182014	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	0.3256331226511251	0.3317020504412942	0.3342793925473411	0.3314120924936295	0.47737752666730765	0.7060436658544832	-0	0.30457389464443174	-0	-0	-0	-0	-0	-0	-0	-0	-0	0.38626898838951224	-0	0.6744938753973808	0.6753481822419724	0.6605214649508622	-0	0.40488542074321315	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
GO:0006357	-0	-0	-0	-0	-0	-0	-0	1	-0	-0	-0	0.16606539386892982	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	0.18109917209076662	-0	-0	-0	0.47627795545007967	0.46330978060369	0.47892767162874417	0.4719785628638425	-0	0.20345486196485746	-0	-0	-0	-0	0.34845494274157873	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	0.23597916818152032	0.2365454230625274	-0	0.2642770677093634	-0	-0	-0	-0	-0	-0	-0	0.3326858453898368	-0	0.21037723682546758	-0	0.18373354139133538	0.14776657445657554	0.20034714525242592	-0	-0	0.2403222660082935	0.5306192769736872	0.5240514223425344	0.5015957262232796	-0	-0	0.3079306217144124	0.32362778743487985	0.33173513994266207	-0	-0	-0	-0	-0	-0	0.4083871322723126	0.26110300348593607	0.4242858506099175	0.20466520470519575	0.28320285324007693	-0	0.24437311764946296	0.7064590789091487	0.5282030155058988	0.24568950246846047	0.20376541924316677	-0	-0	-0	-0	-0	-0	-0	-0	-0	0.16239090516212604	-0	-0	-0	0.16637940101823478	-0	0.2751730224402615	0.2478619103440327	-0	-0	-0	-0	0.15266775910750194	0.15180264225262474	-0	0.146721901499372	0.14256411195216095	0.14720645438304059	0.179958647300583	-0	0.1372193009105622	0.23032076520046332	-0	0.2615252569565593	0.18546793283676546	0.1729153501666332	0.19566814613031056	0.17991420501904248	0.12859401243084947	0.530550523574848	0.23481285697030732	0.20227475352420612	0.1881923768602167	0.14641695137809346	0.14641695137809346	0.13626978493262323	0.13561491751114219	0.13656172553608428	0.13561491751114219	0.21614189912519366	0.21265224316423015
GO:0006366	0.008612367334510576	-0	-0	-0	-0	-0	-0	-0	1	-0	-0	-0	0.018720103487932713	0.011600361498434866	0.016205491648282132	0.01408925639973335	0.008028923447340436	0.019560224848069276	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	0.012059787511271128	-0	-0	-0	-0	0.016159994888764954	-0	0.01482606675956408	0.008317033248401367	0.014775548351687389	0.01208178351814161	0.016353112544659962	0.011806235147355813	0.009555943043970661	0.01250849535952074	-0	-0	-0	-0	0.012059787511271128	-0	0.012830758415952178	0.013610120913928651	0.009862135462191814	0.012691187383854963	0.011097472074515077	-0	-0	0.017823377485901307	-0	-0	0.012566837180804405	-0	-0	-0	0.011186320192452331	0.012719926018824396	-0	-0	-0	-0	0.01523290195446233	-0	-0	-0	-0	-0	-0	-0	-0	-0	0.01639660560893821	-0	-0	-0	-0	-0	0.012314129114957075	-0	-0	-0	-0	-0	0.020646806689386617	0.012230378466197074	0.012038837811730407	0.010604575622993431	0.010882949444605964	0.01100243154307964	0.010869554832976776	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	0.010877784357687756	0.015876171146200622	-0	-0	-0	0.010544664051778114	0.010563315185283247	0.010242252268248878	0.00953570173573504	0.009158135828793318	-0	0.014798883045190628	-0	-0	0.015091835447360107	0.014799421751775493	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
GO:0006936	-0	0.4559953494020428	0.5712141605807164	0.6614719216501168	0.6718335167734452	0.6162139274727083	0.757638271548717	-0	-0	1	0.9377239484940765	-0	-0	-0	-0	-0	-0	-0	0.6076075916092255	0.4929979761068864	-0	0.6703538957447485	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	0.761402781896225	0.7601445449506091	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	0.42916110229285487	0.4128498607891443	0.4962521399583816	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	0.6012576390623222	0.4439712953247732	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	0.41191415792874136	0.4216734477261722	0.42584737170136877	0.42120497074898056	0.6135155090763132	0.9033010516059053	-0	0.3787842781260931	-0	-0	-0	-0	-0	-0	-0	-0	-0	0.5139752152044168	-0	0.8522963676509697	0.8536609010438927	0.8301076878817012	-0	0.49875135887059985	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
