TermID	Name	Value	LogSize	Frequency	Uniqueness	Dispensability	Representative
"GO:0002159"	"desmosome assembly"	-0.9483259109072105	2.3560258571931225	0.0005562657652732735	0.9103727134876997	0.19074194	null
"GO:0003008"	"system process"	-4.986992510806378	5.658049574713654	1.1200115821424117	0.7957104381434711	0.5744028	null
"GO:0003012"	"muscle system process"	-5.558853843385091	4.706265334409592	0.12514995177471178	0.7959893644961148	-0	null
"GO:0003013"	"circulatory system process"	-4.86833179429055	4.796213427493061	0.15395024256879394	0.7932646264454873	0.6750183	null
"GO:0003015"	"heart process"	-4.844900561563225	4.277929946646919	0.04667463587113754	0.7860735318304263	0.61889216	null
"GO:0008015"	"blood circulation"	-2.81804152511552	4.78353913333115	0.14952226862310095	0.7704824466366721	0.91234319	3015
"GO:0060047"	"heart contraction"	-3.8535272989494076	4.250395603057116	0.04380715969174213	0.7780336037266307	0.83962703	3015
"GO:0060048"	"cardiac muscle contraction"	-2.0127464786836655	4.119981307304154	0.03244309315073901	0.7653189383614164	0.97245586	3015
"GO:0086002"	"cardiac muscle cell action potential involved in contraction"	-1.3989482541091023	3.735918116531297	0.013397144072488617	0.5731344088814346	0.97418676	3015
"GO:0086003"	"cardiac muscle cell contraction"	-2.173296628608511	3.7467898321526123	0.013736810778717431	0.706968788524514	0.92218892	3015
"GO:0086005"	"ventricular cardiac muscle cell action potential"	-2.1307776203865996	3.554125581513013	0.008814104891343327	0.5822215831501654	0.93056955	3015
"GO:0006357"	"regulation of transcription by RNA polymerase II"	-0.9715018897795411	6.230801833816229	4.1876991326832185	0.7803959533147613	0.32362779	null
"GO:0051252"	"regulation of RNA metabolic process"	-0.3984613726653076	6.6718271249427055	11.561147071204134	0.7590848686278208	0.70645908	6357
"GO:0006366"	"transcription by RNA polymerase II"	-0.6693795227562305	5.323359371070169	0.5182403236462522	0.9914911916308254	0.01635311	null
"GO:0006941"	"striated muscle contraction"	-2.388017597452292	4.355585600061131	0.05581363935104756	0.7787249398937445	0.62669985	null
"GO:0003300"	"cardiac muscle hypertrophy"	-1.8384103017593776	2.886490725172482	0.001892780413695342	0.8110772193993818	0.7269004	6941
"GO:0006936"	"muscle contraction"	-1.5044388934063218	4.679173423631723	0.11758129147287409	0.7690410277896054	0.93772395	6941
"GO:0014896"	"muscle hypertrophy"	-1.7138950436898135	2.9242792860618816	0.0020650751197534355	0.8150979600095076	0.73036495	6941
"GO:0014897"	"striated muscle hypertrophy"	-1.7627694338711852	2.9116901587538613	0.0020060026491049462	0.810548678578582	0.99462522	6941
"GO:0006996"	"organelle organization"	-3.833796251006764	6.4253582825587365	6.55438598080312	0.8841054958291596	0.54848203	null
"GO:0006998"	"nuclear envelope organization"	-1.1423118778797368	4.296314103353241	0.04869294528496092	0.9018693109442282	0.35567198	null
