	GO:0000785	GO:0005654	GO:0005667	GO:0005694	GO:0005737	GO:0005829	GO:0005856	GO:0005925	GO:0015629	GO:0016234	GO:0016235	GO:0016528	GO:0016529	GO:0030016	GO:0030017	GO:0030018	GO:0030054	GO:0030055	GO:0031143	GO:0031674	GO:0031974	GO:0031981	GO:0033017	GO:0042383	GO:0042995	GO:0043034	GO:0043228	GO:0043232	GO:0043233	GO:0043292	GO:0048471	GO:0070013	GO:0070161	GO:0099080	GO:0099081	GO:0099512
GO:0000785	1	0.15750757961374645	-0	0.49679193816359174	0.0944231468068437	0.07677798078423598	0.510568703228796	3.067840857080437E-05	0.43439824487962964	0.03832476284313847	0.03743652710010097	0.04268718233011414	0.11172172687076921	0.37778589925152495	0.3738841847680754	0.35852245329675286	4.0293017558513395E-05	3.084891362014965E-05	2.3977133498194115E-05	0.3599329966261833	4.446192874184514E-05	0.16954675134478794	0.10631448034763209	3.0012745281474542E-05	4.158623936375344E-05	0.29265035586731286	0.19270129144134315	0.5912043015984793	0.16975030069280037	0.37962971597711753	0.04801534393608682	0.17538895878922245	3.6025037481318594E-05	4.0056866265386156E-05	3.849169172374188E-05	3.848618383766922E-05
GO:0005654	0.15750757961374645	1	-0	0.17489116126844625	0.10393588525046005	0.08295134169413824	0.18006103641683371	3.210142344159809E-05	0.1517054204290066	0.039803398579073085	0.03884615726252303	0.04452968744613108	0.14814555188635894	0.1309860146588783	0.12956900560123888	0.1240036093417634	4.278395635499954E-05	3.228816120222136E-05	2.4837651811199175E-05	0.12451373117119115	4.7514507303156046E-05	0.8120018111929149	0.14068487838698834	3.13733073131097E-05	4.424491486671021E-05	0.10038240996983872	0.20786087770443726	0.21390916015002948	0.8419006046070192	0.13165613338792112	0.050359140537136686	0.8419002415404179	3.8003271889065714E-05	4.251780094309913E-05	4.075862559252531E-05	4.0752449890226295E-05
GO:0005667	-0	-0	1	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
GO:0005694	0.49679193816359174	0.17489116126844625	-0	1	0.11209868585946539	0.08806960483363149	0.5714883833632945	3.321500628543554E-05	0.47772564555249264	0.04094521547161175	0.03993296512157418	0.04596364827140356	0.1201958979795772	0.41013551604502074	0.40554105208304325	0.38753048409715074	4.478510062201434E-05	3.341496479459934E-05	2.5499105405858044E-05	0.3891790401689889	4.9995473327199394E-05	0.18986070747448294	0.11396014709591279	3.243611082644025E-05	4.6388483746620334E-05	0.3116950956460994	0.2203926168409256	0.6758016565517713	0.1908767034179018	0.412309531161678	0.05220088478072093	0.1972171003507367	3.957397674046552E-05	4.4493549863546686E-05	4.257077930695833E-05	4.256404229115417E-05
GO:0005737	0.0944231468068437	0.10393588525046005	-0	0.11209868585946539	1	0.17107524811052977	0.11783719529409106	4.567421965048173E-05	0.08902199235415167	0.05287199715945189	0.051196217902832526	0.06154963816063521	0.060582171930815054	0.07146773923960233	0.07035680976763993	0.06609440020138983	7.084074539631713E-05	4.605318134698581E-05	3.2253510088119907E-05	0.06647854258244426	8.482392893929332E-05	0.11864723627139961	0.05646150836112907	4.4214231684704754E-05	7.493785873849E-05	0.049624398159246706	0.00010976462372567324	0.16231597548778426	8.482389144441003E-05	0.07199683332177695	0.07327355156500585	0.1264468792996338	5.862885997557635E-05	7.011401798361864E-05	6.545527938951038E-05	6.543935375361314E-05
GO:0005829	0.07677798078423598	0.08295134169413824	-0	0.08806960483363149	0.17107524811052977	1	0.09157317233120746	3.918115511868539E-05	0.07316828676922754	0.04684378796737638	0.04552358212425365	0.1063158001004699	0.10485942587996107	0.12090904262746112	0.11930436555494436	0.11307818430297875	5.6355634787936766E-05	3.9459700242756015E-05	2.887447689763242E-05	0.11364386729749586	6.486173418938937E-05	0.09206161524741212	0.09858885114413131	3.8101861796006194E-05	5.8918233724603345E-05	0.0879369685444164	7.850101984467649E-05	0.11634986605996779	6.486171226576286E-05	0.12167069440158029	0.12350172525389587	0.09668932490005494	4.834483975060031E-05	5.589475046882153E-05	5.289356610023555E-05	5.288316609887254E-05
GO:0005856	0.510568703228796	0.18006103641683371	-0	0.5714883833632945	0.11783719529409106	0.09157317233120746	1	3.394516830983842E-05	0.49045168634503916	0.04168672566702736	0.040637949554534106	0.04690014190852964	0.12261540639136576	0.41948004046200904	0.4146750573954624	0.39586286583034835	4.6122792481446015E-05	3.41540424250208E-05	2.592724786583984E-05	0.39758323335369244	5.166834318577148E-05	0.1959689287518166	0.11613285096084956	3.3132070848632605E-05	4.7825209903342216E-05	0.31706286531409494	0.2289516641692158	0.7019314768253506	0.1972635175957796	0.4217545243125992	0.053412135328300595	0.2038160591573417	4.061485893532561E-05	4.5813624995343284E-05	4.3777679264146115E-05	4.3770554870841754E-05
GO:0005925	3.067840857080437E-05	3.210142344159809E-05	-0	3.321500628543554E-05	4.567421965048173E-05	3.918115511868539E-05	3.394516830983842E-05	1	2.9802640430707056E-05	2.2220594766940787E-05	2.1774076334901052E-05	2.437344496118745E-05	2.414582248344089E-05	2.654833848282288E-05	2.631821820500165E-05	2.540464218020522E-05	3.233637686679513E-05	0.7483417284889733	2.0914756403905545E-05	2.5489034571273483E-05	3.4967626573124954E-05	3.404498169655328E-05	2.3142339834055254E-05	2.5364033361543762E-05	3.316403756450971E-05	2.1345424293988923E-05	3.8581500886166225E-05	3.8472334841326683E-05	3.496762020124388E-05	2.665681753074845E-05	2.6915661793487946E-05	3.4967592589654395E-05	0.6706302359726232	3.2184106156271906E-05	3.116589043684615E-05	3.116227948366511E-05
GO:0015629	0.43439824487962964	0.1517054204290066	-0	0.47772564555249264	0.08902199235415167	0.07316828676922754	0.49045168634503916	2.9802640430707056E-05	1	0.03740366771917347	0.036557142982252606	0.04154757818606547	0.10877094156995362	0.36665782884502574	0.3629814685868035	0.3484852230841184	3.879569654865104E-05	2.9963524179821355E-05	2.3438820839707428E-05	0.34981774577745767	4.264572176722831E-05	0.16284258852093014	0.10363899427789407	2.9174050342874582E-05	3.9993161660341866E-05	0.2859280392901407	0.183814526907434	0.5640360592293947	0.16281624226864905	0.36839437270316083	0.04657828572120971	0.16822457609858635	3.482339005555518E-05	3.8576722601791233E-05	3.712298177884213E-05	3.7117858607688864E-05
GO:0016234	0.03832476284313847	0.039803398579073085	-0	0.04094521547161175	0.05287199715945189	0.04684378796737638	0.04168672566702736	2.2220594766940787E-05	0.03740366771917347	1	0.02854300004382527	0.03149684076214695	0.031241532543193597	0.033904633084785044	0.03365254790995802	0.03264555507170564	2.6863467200360623E-05	2.230990845243527E-05	1.84796823688907E-05	0.03273899564144441	2.8654745973164046E-05	0.04178765391609413	0.03010837702373965	2.1869272184504085E-05	2.7432210705022577E-05	0.02804770211430409	3.103709506038846E-05	0.04616167986210933	2.8654741694299975E-05	0.03402324936538329	0.03430572226126796	0.042715645303338545	2.4896955824545262E-05	2.6758294250533163E-05	2.605068043670581E-05	2.604815748359069E-05
