	GO:0000976	GO:0000981	GO:0000987	GO:0001067	GO:0001216	GO:0001217	GO:0001227	GO:0001228	GO:0003690	GO:0003700	GO:0003713	GO:0003779	GO:0005515	GO:0008092	GO:0008134	GO:0008307	GO:0019899	GO:0042805	GO:0043565	GO:0044877	GO:0050839	GO:0051015	GO:0106310	GO:0140110	GO:0140297	GO:1901981	GO:1902936
GO:0000976	1	-0	0.8847929378606474	0.36316713057155564	-0	-0	-0	-0	0.5441561258981036	-0	-0	0.05307966000524235	0.07451905515282585	0.058038906911328646	0.04568224581847864	-0	0.05751410680593721	0.03753538986934273	0.5604564805082354	0.05882326929961241	0.047934132208152694	0.05047179345234899	-0	-0	0.04304378782274521	0.04659380221542392	0.044155228519943426
GO:0000981	-0	1	-0	-0	0.5240216045087203	0.48763657086676687	0.5551036678230359	0.595024569935156	-0	0.7667795621468066	0.5136139716737419	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
GO:0000987	0.8847929378606474	-0	1	0.3316355479606147	-0	-0	-0	-0	0.4960032169593081	-0	-0	0.049200581562162664	0.06709274483532782	0.0534325721308352	0.04277947286030909	-0	0.052987449773662466	0.03555318025084673	0.5095105404386177	0.05409665901412039	0.044748103418324824	0.046951880513684235	-0	-0	0.04045714811166635	0.04357785202282739	0.04143750115116328
GO:0001067	0.36316713057155564	-0	0.3316355479606147	1	-0	-0	-0	-0	0.37081973420301306	-0	-0	0.053079953954749265	0.07451963451764794	0.058039258354528826	0.04568246354484714	-0	0.057514451922205154	0.03753553686267295	0.381927824930583	0.05882363030613435	0.047934371929095394	0.050472059227165716	-0	-0	0.043043981125026935	0.046594028717653335	0.04415543193370941
GO:0001216	-0	0.5240216045087203	-0	-0	1	0.39358153935276374	0.39161970210943914	0.6420067716471852	-0	0.5496738282515383	0.6619233739842729	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
GO:0001217	-0	0.48763657086676687	-0	-0	0.39358153935276374	1	0.5883686887900296	0.39101469690208024	-0	0.5078910246031146	0.3828838572852252	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
GO:0001227	-0	0.5551036678230359	-0	-0	0.39161970210943914	0.5883686887900296	1	0.5390195264812697	-0	0.5044632798053447	0.38093255957694105	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
GO:0001228	-0	0.595024569935156	-0	-0	0.6420067716471852	0.39101469690208024	0.5390195264812697	1	-0	0.5444274314876715	0.657243458753908	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
GO:0003690	0.5441561258981036	-0	0.4960032169593081	0.37081973420301306	-0	-0	-0	-0	1	-0	-0	0.054003814220629644	0.07635342864254412	0.05914561649108892	0.04636510407880897	-0	0.05860070531461352	0.0379951817943363	0.5728898612300252	0.05996038712674279	0.0486865265887987	0.05130665472950681	-0	-0	0.04364952168527925	0.04730439621732925	0.04479287945374781
GO:0003700	-0	0.7667795621468066	-0	-0	0.5496738282515383	0.5078910246031146	0.5044632798053447	0.5444274314876715	-0	1	0.5680488336565009	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
GO:0003713	-0	0.5136139716737419	-0	-0	0.6619233739842729	0.3828838572852252	0.38093255957694105	0.657243458753908	-0	0.5680488336565009	1	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
GO:0003779	0.05307966000524235	-0	0.049200581562162664	0.053079953954749265	-0	-0	-0	-0	0.054003814220629644	-0	-0	1	0.06010853891843635	0.5031884100924622	0.4097853401762429	-0	0.49934890998481896	0.6212844241183264	0.05533353409309306	0.0494626865442433	0.42728660746782404	0.8054956308554662	-0	-0	0.3889963297740977	0.04051984224478871	0.03866294336022405
GO:0005515	0.07451905515282585	-0	0.06709274483532782	0.07451963451764794	-0	-0	-0	-0	0.07635342864254412	-0	-0	0.06010853891843635	1	0.06654783635078418	0.050794152574378124	-0	0.06585879069120668	0.04091906271602647	0.07903887581870328	0.06758109135750326	0.053593657771637174	0.05678588531330002	-0	-0	0.04755310884922172	0.051923654340004816	0.04891329874436708
GO:0008092	0.058038906911328646	-0	0.0534325721308352	0.058039258354528826	-0	-0	-0	-0	0.05914561649108892	-0	-0	0.5031884100924622	0.06654783635078418	1	0.43785897779660277	-0	0.5416689490421852	0.36421554345666246	0.060744348828349164	0.053741847985337314	0.457898978511057	0.4803213338484903	-0	-0	0.4142061692232128	0.043347314254552835	0.0412289990578086
GO:0008134	0.04568224581847864	-0	0.04277947286030909	0.04568246354484714	-0	-0	-0	-0	0.04636510407880897	-0	-0	0.4097853401762429	0.050794152574378124	0.43785897779660277	1	-0	0.43494884778358905	0.3126366044202354	0.04734185499109972	0.04297749047291003	0.37923855786685534	0.3944906302759562	-0	-0	0.3487684875890802	0.036062025428521854	0.03458377468987788
GO:0008307	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	1	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
GO:0019899	0.05751410680593721	-0	0.052987449773662466	0.057514451922205154	-0	-0	-0	-0	0.05860070531461352	-0	-0	0.49934890998481896	0.06585879069120668	0.5416689490421852	0.43494884778358905	-0	1	0.36219974750955014	0.060169724232334756	0.0532915795547969	0.45471733778789986	0.4768216581750252	-0	-0	0.4116010179196787	0.04305390416521954	0.040963477420190283
GO:0042805	0.03753538986934273	-0	0.03555318025084673	0.03753553686267295	-0	-0	-0	-0	0.0379951817943363	-0	-0	0.6212844241183264	0.04091906271602647	0.36421554345666246	0.3126366044202354	-0	0.36219974750955014	1	0.038648628127558315	0.035689843087791294	0.3227212631252309	0.6016691137858625	-0	-0	0.3003888755044356	0.030787056107111445	0.029703138912540727
GO:0043565	0.5604564805082354	-0	0.5095105404386177	0.381927824930583	-0	-0	-0	-0	0.5728898612300252	-0	-0	0.05533353409309306	0.07903887581870328	0.060744348828349164	0.04734185499109972	-0	0.060169724232334756	0.038648628127558315	1	0.06160408213036261	0.04976467178410053	0.052505394574551154	-0	-0	0.04451414073366093	0.04832155731463263	0.045703860160495574
GO:0044877	0.05882326929961241	-0	0.05409665901412039	0.05882363030613435	-0	-0	-0	-0	0.05996038712674279	-0	-0	0.0494626865442433	0.06758109135750326	0.053741847985337314	0.04297749047291003	-0	0.0532915795547969	0.035689843087791294	0.06160408213036261	1	0.0449648113200687	0.047190516016621414	-0	-0	0.04063420563216295	0.04378334743040591	0.04162326321257635
GO:0050839	0.047934132208152694	-0	0.044748103418324824	0.047934371929095394	-0	-0	-0	-0	0.0486865265887987	-0	-0	0.42728660746782404	0.053593657771637174	0.457898978511057	0.37923855786685534	-0	0.45471733778789986	0.3227212631252309	0.04976467178410053	0.0449648113200687	1	0.41068404049764506	-0	-0	0.3613658055724865	0.03745091165009987	0.03585911510231381
GO:0051015	0.05047179345234899	-0	0.046951880513684235	0.050472059227165716	-0	-0	-0	-0	0.05130665472950681	-0	-0	0.8054956308554662	0.05678588531330002	0.4803213338484903	0.3944906302759562	-0	0.4768216581750252	0.6016691137858625	0.052505394574551154	0.047190516016621414	0.41068404049764506	1	-0	-0	0.3751879562546345	0.03898224331313093	0.03726060345577406
GO:0106310	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	1	-0	-0	-0	-0
GO:0140110	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	1	-0	-0	-0
GO:0140297	0.04304378782274521	-0	0.04045714811166635	0.043043981125026935	-0	-0	-0	-0	0.04364952168527925	-0	-0	0.3889963297740977	0.04755310884922172	0.4142061692232128	0.3487684875890802	-0	0.4116010179196787	0.3003888755044356	0.04451414073366093	0.04063420563216295	0.3613658055724865	0.3751879562546345	-0	-0	1	0.03439757744036079	0.03305008590425624
GO:1901981	0.04659380221542392	-0	0.04357785202282739	0.046594028717653335	-0	-0	-0	-0	0.04730439621732925	-0	-0	0.04051984224478871	0.051923654340004816	0.043347314254552835	0.036062025428521854	-0	0.04305390416521954	0.030787056107111445	0.04832155731463263	0.04378334743040591	0.03745091165009987	0.03898224331313093	-0	-0	0.03439757744036079	1	0.8578015828832425
GO:1902936	0.044155228519943426	-0	0.04143750115116328	0.04415543193370941	-0	-0	-0	-0	0.04479287945374781	-0	-0	0.03866294336022405	0.04891329874436708	0.0412289990578086	0.03458377468987788	-0	0.040963477420190283	0.029703138912540727	0.045703860160495574	0.04162326321257635	0.03585911510231381	0.03726060345577406	-0	-0	0.03305008590425624	0.8578015828832425	1
