"source","term_name","term_id","highlighted","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:MF","actin binding","GO:0003779","true","0.00021088620125607216","3.6759518361656776","447","70","11","20208","NEXN,ACTN2,TTN,PDLIM5,FLNC,MTSS1,SVIL,SYNPO2L,FERMT2,MAPT,FHOD3"
"GO:MF","cytoskeletal protein binding","GO:0008092","false","0.0007184927122291824","3.143577632616329","996","70","15","20208","HSPB7,MAST2,NEXN,OBSCN,ACTN2,TTN,PROM1,PDLIM5,FLNC,MTSS1,SVIL,SYNPO2L,FERMT2,MAPT,FHOD3"
"GO:MF","protein binding","GO:0005515","false","0.0017471504660416348","2.7576696916068433","15082","70","67","20208","SKI,PRDM16,RNF207,HSPB7,MAST2,NFIA,GIPC2,NEXN,NOS1AP,PROX1,OBSCN,ACTN2,E2F6,STRN,TMEM182,TTN,SPATS2L,CAND2,RAF1,LSM3,SFMBT1,TKT,MITF,MLF1,FNDC3B,PROM1,PDLIM5,SLC1A3,ACTBL2,PAIP2,CDKN1A,MLIP,CEP85L,SLC35F1,FLNC,XPO7,FBXO32,MTSS1,KLF6,SVIL,CAMK2G,SYNPO2L,VTI1A,BAG3,RRAS2,PGR,PDE3A,PKP2,TBX3,HSPB8,FERMT2,PTPN21,CHRNB4,AKAP13,SRL,NFATC3,MAPT,HLF,PRKCA,FHOD3,NEDD4L,DMWD,RSPH6A,NCOA6,MAP3K7CL,SH3BGR,SMARCB1"
"GO:MF","actin filament binding","GO:0051015","false","0.004265058772136324","2.3700749799153016","207","70","7","20208","NEXN,ACTN2,TTN,FLNC,SVIL,FERMT2,FHOD3"
"GO:MF","structural constituent of muscle","GO:0008307","true","0.007688363359114876","2.11416609969832","42","70","4","20208","NEXN,OBSCN,ACTN2,TTN"
"GO:MF","transcription factor binding","GO:0008134","true","0.021723888462276072","1.6630624356871058","597","70","10","20208","SKI,PRDM16,NFIA,PROX1,STRN,CAND2,PGR,TBX3,NCOA6,SMARCB1"
"GO:MF","DNA-binding transcription repressor activity, RNA polymerase II-specific","GO:0001227","true","0.022011041356217308","1.6573594102153724","267","70","7","20208","SKI,PRDM16,PROX1,E2F6,MITF,TBX3,NFATC3"
"GO:MF","DNA-binding transcription repressor activity","GO:0001217","false","0.028425356921655476","1.5462940734077824","278","70","7","20208","SKI,PRDM16,PROX1,E2F6,MITF,TBX3,NFATC3"
"GO:BP","striated muscle cell development","GO:0055002","true","1.6868031631549826e-13","12.772935593251514","162","67","14","20972","SKI,PROX1,OBSCN,ACTN2,TMEM182,TTN,PDLIM5,FLNC,SYNPO2L,TBX3,ADPRHL1,AKAP13,ALPK3,FHOD3"
"GO:BP","muscle cell development","GO:0055001","false","1.6048215073538914e-12","11.794573263995563","190","67","14","20972","SKI,PROX1,OBSCN,ACTN2,TMEM182,TTN,PDLIM5,FLNC,SYNPO2L,TBX3,ADPRHL1,AKAP13,ALPK3,FHOD3"
